instance,n,v,objective,bf_optimum,lp_lb,lp_ratio,milp_value,milp_status,milp_time_ms,sound,milp_matches_bf
problems/2_3/6_1767711946895.json,3,2,PRICE,1119.986125,804.290387,0.718125,1119.986125,OPTIMAL,63,true,true
problems/2_3/7_1767711946895.json,3,2,DISTANCE,1054.171742,581.269955,0.551400,1054.171742,OPTIMAL,85,true,true
problems/2_3/7_1767711946895.json,3,2,PRICE,1679.509189,942.065972,0.560917,1679.509189,OPTIMAL,60,true,true
problems/2_3/8_1767711946895.json,3,2,DISTANCE,2322.387423,1743.254251,0.750630,2322.387423,OPTIMAL,191,true,true
problems/2_3/8_1767711946895.json,3,2,PRICE,2478.165415,1874.240110,0.756301,2478.165415,OPTIMAL,148,true,true
problems/2_3/9_1767711946895.json,3,2,DISTANCE,1665.718446,1184.226043,0.710940,1665.718446,OPTIMAL,73,true,true
problems/2_3/9_1767711946895.json,3,2,PRICE,2842.039623,2028.073045,0.713598,2842.039623,OPTIMAL,47,true,true
problems/2_4/0_1767711946895.json,4,2,DISTANCE,875.048456,430.803421,0.492320,875.048456,OPTIMAL,48,true,true
problems/2_4/0_1767711946895.json,4,2,PRICE,1531.453869,656.725450,0.428825,1531.453869,OPTIMAL,89,true,true
problems/2_4/1_1767711946895.json,4,2,DISTANCE,1153.471515,856.525908,0.742564,1153.471515,OPTIMAL,55,true,true
problems/2_4/1_1767711946895.json,4,2,PRICE,1728.341350,1273.013921,0.736552,1728.341350,OPTIMAL,132,true,true
problems/2_4/2_1767711946895.json,4,2,DISTANCE,2030.510798,1525.137806,0.751110,2030.510798,OPTIMAL,232,true,true
problems/2_4/2_1767711946895.json,4,2,PRICE,5566.664053,4126.155902,0.741226,5566.664053,OPTIMAL,204,true,true
problems/2_4/3_1767711946895.json,4,2,DISTANCE,1636.189586,1086.513968,0.664051,1636.189586,OPTIMAL,79,true,true
problems/2_4/3_1767711946895.json,4,2,PRICE,2183.784728,1288.988450,0.590254,2183.784728,OPTIMAL,163,true,true
problems/2_4/4_1767711946895.json,4,2,DISTANCE,944.066874,861.423101,0.912460,944.066874,OPTIMAL,18,true,true
